DBAR
====================================================================================================
  BARRA       PD(PU)    QD(PU)    Bsh(PU)    TIPO    Vesp(PU)   Oesp()   PGesp(PU) Cus($/MW) CGmin(PU) CGmax(PU)
    1        0.0       0.0       0.0        PV      1.0773     0.0       1.1       0.0       0.0       1.2    
    2       0.3174    0.087      0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    3       0.532     0.092      0.0        SW      1.0173     0.0       0.0       0.0       0.0       1.0    
    4        0.0       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    5        0.0       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    6        0.0       0.0       0.0        PV      1.0373     0.0       0.55      0.0       0.0       1.0    
    7        0.0       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    8       0.649     0.054      0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    9        0.0       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    10      0.535     0.158      0.25       PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    11      0.335     0.0852     0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    12      0.435     0.0952     0.0        PV      1.0201     0.0       0.6       0.0       0.0       0.8    
====================================================================================================
####
DCIR
====================================================================================================
   BDE      BPARA     NCIR      RES(PU)  REAT(PU)  SUCsh(PU) TAP(PU)  DEF(GRAUS)   L/D     CAP(PU)
    1         2         1       0.0194    0.0592    0.0264     1.0       0.0        L        1.0    
    1         4         2       0.054     0.123     0.0246     1.0       0.0        L        1.0    
    2         3         3       0.047     0.198     0.0219     1.0       0.0        L        1.0    
    3         6         4       0.0581    0.1763    0.0187     1.0       0.0        L        1.0    
    4         7         5        0.0      0.0421     0.0       1.01      -6.2       L        0.8    
    5         8         6        0.0      0.252      0.0       1.0       0.0        L        0.8    
    5         6         7       0.0134    0.1421     0.0       1.0       0.0        L        0.8    
    6         9         8        0.0       0.11      0.0      1.023      -4.0       L        0.8    
    7         8         9       0.095     0.0989     0.0       1.0       0.0        L        0.5    
    7         10        10      0.1271    0.2704     0.0       1.0       0.0        L        0.5    
    8         11        11      0.1351    0.1569     0.0       1.0       0.0        L        0.5    
    9         11        12      0.2209    0.1999     0.0      1.0114     0.0        L        0.5    
    9         12        13      0.1229    0.2558     0.0       1.0       0.0        L        0.5    
    9         12        14      0.1229    0.2558     0.0       1.0       0.0        L        0.5    
    10        11        15      0.1709    0.2514     0.0       1.0       0.0        L        0.5    
====================================================================================================
####
