DBAR
====================================================================================================
  BARRA       PD(PU)    QD(PU)    Bsh(PU)    TIPO    Vesp(PU)   Oesp()   PGesp(PU) Cus($/MW) CGmin(PU) CGmax(PU)
    1        0.0       0.0       0.0        SW       1.05      0.0       0.0       0.0       0.0       1.0    
    2        0.0       0.0       0.0        PV       1.03      0.0       0.95      0.0       0.0       1.0    
    3        0.0       0.0       0.0        PV       1.02      0.0       0.95      0.0       0.0       1.0    
    4        0.7       0.25      0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    5        0.9       0.4       0.2        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    6        0.85      0.35      0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
====================================================================================================
####
DCIR
====================================================================================================
   BDE      BPARA     NCIR      RES(PU)  REAT(PU)  SUCsh(PU) TAP(PU)  DEF(GRAUS)   L/D     CAP(PU)
    1         2         1        0.04      0.2       0.04      1.0       0.0        L        0.5    
    1         4         2        0.04      0.2       0.02      1.0       0.0        L        0.5    
    1         5         3        0.06      0.3       0.0       1.0       0.0        L        0.5    
    2         3         4        0.05      0.25      0.0       1.0       0.0        L        0.4    
    2         4         5        0.02      0.1       0.0       1.0       0.0        L        0.75   
    2         5         6        0.06      0.3       0.0       1.0       0.0        L        0.75   
    2         6         7        0.04      0.2       0.0       1.0       0.0        L        0.75   
    3         5         8        0.05      0.26      0.0       1.0       0.0        L        0.75   
    3         6         9        0.02      0.1       0.0       1.0       0.0        L        0.75   
    4         5         10       0.08      0.4       0.0       1.0       0.0        L        0.4    
    5         6         11       0.06      0.3       0.0       1.0       0.0        L        0.4    
====================================================================================================
####
