DBAR
====================================================================================================
  BARRA       PD(PU)    QD(PU)    Bsh(PU)    TIPO    Vesp(PU)   Oesp()   PGesp(PU) Cus($/MW) CGmin(PU) CGmax(PU)
    1        0.0       0.0       0.0        SW       1.0       0.0       0.0      150.0      0.0       99.9   
    2        0.4       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    3        2.3       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    4        0.0       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    5        0.0       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    6        0.5       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    7        0.0       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    8        0.0       0.0       0.0        PV       1.0       0.0       2.5       50.0      0.0       2.5    
    9        1.55      0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    10       1.4       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    11       2.45      0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.0    
    12       0.0       0.0       0.0        PQ       1.0       0.0       0.0       0.0       0.0       0.8    
====================================================================================================
####
DCIR
====================================================================================================
   BDE      BPARA     NCIR      RES(PU)  REAT(PU)  SUCsh(PU) TAP(PU)  DEF(GRAUS)   L/D     CAP(PU)
    9         2         1        0.0      0.3191     0.0       1.0       0.0        L        1.25   
    9         10        2        0.0      0.2374     0.0       1.0       0.0        L        1.25   
    2         3         3        0.0      0.0439     0.0       1.0       0.0        L        1.25   
    3         6         4        0.0      0.3963     0.0       1.0       0.0        L        1.25   
    10        6         5        0.0      0.4216     0.0       1.0       0.0        L        1.25   
    11        6         6        0.0      0.0281     0.0       1.0       0.0        L        1.25   
    10        3         7        0.0      0.0983     0.0       1.0       0.0        L        0.73   
    5         4         8        0.0      0.0111     0.0       1.0       0.0        L        8.0    
    8         7         9        0.0      0.0502     0.0       1.0       0.0        L        8.0    
    1         5         10       0.0      0.0318     0.0       1.0       0.0        L        8.0    
    5         7         11       0.0      0.0484     0.0       1.0       0.0        L        8.0    
    1         9         12       0.0      0.0771     0.0       1.0       0.0        L        2.25   
    1         9         13       0.0      0.0771     0.0       1.0       0.0        L        2.25   
    5         10        14       0.0       0.05      0.0       1.0       0.0        L        2.25   
    5         10        15       0.0       0.05      0.0       1.0       0.0        L        2.25   
    5         10        16       0.0       0.05      0.0       1.0       0.0        L        2.25   
    7         11        17       0.0       0.05      0.0       1.0       0.0        L        2.25   
    7         11        18       0.0       0.05      0.0       1.0       0.0        L        2.25   
    7         11        19       0.0       0.05      0.0       1.0       0.0        L        2.25   
    4         12        20       0.0      0.0436     0.0       1.0       0.0        L        2.25   
    3         12        21        0     0.04265945655734569    0        1.0       0.0        L        1.25   
    3         10        22        0     0.10551337810686509    0        1.0       0.0        L        1.25   
====================================================================================================
####
